commit,price,shop,title
1000+,1388.00,萤火虫二手手机专营店,拍拍【二手9成新】Apple 苹果8 iPhone8 二手苹果手机 二手手机 手机apple 金色 256G
2,1819.00,靓机优品二手手机专营店,拍拍【二手95新】Apple iPhone8 Plus 二手苹果8P 二手手机 移动联通电信4G手机 银色 64G 全网通
200+,5899.00,四川移动京东自营旗舰店,Apple iPhone 13 (A2634) 128GB 午夜色 支持移动联通电信5G 双卡双待手机
500+,446.00,小皮科技二手商品旗舰店,拍拍【已验机】Apple iPhone 苹果SE 非国行 无锁版 插卡即用  二手手机 全网通4G 深空灰 32G
11,3408.00,万事达二手手机专营店,拍拍【二手99新】Apple iPhone 11Pro 苹果国行移动联通电信4G 双卡双待二手手机 墨绿 64GB 全网通
2000+,4399.00,爱相随二手手机专营店,【二手99新】Apple iPhone12 苹果12二手手机 5G双卡双待 国行 二手苹果12手机 黑色 128G 全网通5G【评价有礼】
34,3966.00,好时机二手手机专营店,拍拍【99新】Apple苹果 iPhone 12 苹果12 二手手机 双卡双待 5G全网通 黑色 64G 全网通
1万+,5199.00,Apple嘉世优品专卖店,Apple iPhone 12 (A2404) 移动联通电信5G 双卡双待手机 白色 128G【官方标配+精品壳膜套件+运费险】
200+,7599.00,在一起二手手机专营店,拍拍【准新机】苹果13 Pro Apple iPhone 13 Pro (A2639) 二手5G手机 远峰蓝色 128G 全网通
500+,4888.00,考拉严选二手商品专营店,拍拍【准新机】Apple iPhone 12 苹果12 国行 支持移动联通电信5G 双卡双待 二手手机 白色 128GB【电池效率100%】
500+,4149.00,零一店二手商品专营店,拍拍【二手9成新】Apple苹果 iPhone 12 移动联通电信5G双卡双待手机 红色 128G 全网通
5000+,3358.00,缘翼优品二手手机专营店,【二手95成新】Apple iPhone11 Pro苹果11 Pro 二手手机 手机apple 银色 64G 全网通
83,3358.00,好时机二手手机专营店,拍拍【二手95新】Apple iPhone 11 PRO 二手苹果11pro 二手苹果手机 银色 64G 全网通
500+,3279.00,好采机二手手机旗舰店,拍拍【二手99新】Apple iPhonex XSmax苹果x XSmax 双卡双待国行 二手手机 金色 256G全网通
1000+,6399.00,双果数码二手手机专营店,拍拍【二手8成新】Apple iPhone12ProMax 苹果12 ProMax国行原装二手5G手机 海蓝色 256G全网通
200+,2149.00,万事达二手手机专营店,拍拍【二手99新】Apple iPhone SE2 苹果SE2国行原装三网通A13芯片性能备用二手手机 红色 128GB
2000+,5999.00,中国联通京东自营旗舰店,Apple iPhone 13 mini (A2629) 256GB 蓝色 手机 支持移动联通电信5G【赠大王卡首月免月租】
500+,5858.00,银河信业手机专营店,Apple iPhone苹果13 5G手机【春节不打烊 部分地区可当日达】 午夜色 128GB
500+,1869.00,百世二手手机专营店,拍拍【二手95新】Apple iPhone XS 苹果xs 二手苹果手机 5.8英寸 灰色【评价有礼】 64G 全网通+赠送充电套装
500+,2949.00,拍拍严选官方旗舰店,拍拍【资源机8新】Apple iPhone 11 苹果11手机 大陆国行  拍拍严选 全网通 红色 64G
1000+,5799.00,零一店二手商品专营店,拍拍【二手99成新】Apple iPhone12Pro 苹果12 pro 支持移动联通电信 金色 256GB 【全网通】
57,2888.00,小皮科技二手商品旗舰店,拍拍【已验机】Apple iPhone 苹果11 外版 无锁版 插卡即用 移动联通电信4G手机 黄色 128G
1000+,6299.00,好采机二手手机旗舰店,拍拍【二手8成新】Apple iPhone12ProMax 苹果12 ProMax国行二手手机 海蓝色 256G全网通
5万+,1879.00,拍拍严选官方旗舰店,Apple iPhone XR 苹果xr二手手机 珊瑚色 64G
200+,3069.00,典匠二手手机专营店,拍拍【已验机】Apple iPhone 苹果12/苹果12 mini 二手手机 大陆国行 苹果12 mini【绿色】 128GB
